ax,ay,az,qx,qy,qz,qw,ts
-0.060004,-0.157716,-0.138797,-0.448344,0.620148,-0.476089,0.433294,483503396.528024
-0.040755,-0.198878,-0.150266,-0.448370,0.619401,-0.475058,0.435463,483503396.543470
-0.036108,-0.234088,-0.168650,-0.448251,0.618031,-0.474731,0.437882,483503396.543897
-0.044271,-0.246609,-0.169209,-0.447937,0.616031,-0.475151,0.440556,483503396.557619
-0.060675,-0.223326,-0.130007,-0.447587,0.613381,-0.476216,0.443451,483503396.573484
-0.061202,-0.176040,-0.060682,-0.447305,0.610149,-0.477797,0.446482,483503396.573765
-0.050103,-0.102713,0.036897,-0.447167,0.606539,-0.479764,0.449420,483503396.589087
-0.023771,-0.017269,0.156553,-0.447451,0.602791,-0.481765,0.452032,483503396.604974
-0.011449,0.060390,0.192092,-0.448337,0.598733,-0.483322,0.454877,483503396.605252
-0.007055,0.130696,0.242161,-0.449863,0.594404,-0.484332,0.457963,483503396.907423
0.008713,0.239199,0.251981,-0.451881,0.589791,-0.484685,0.461553,483503396.923424
0.019665,0.261247,0.296356,-0.453934,0.585220,-0.484673,0.465354,483503396.923693
0.019761,0.203175,0.229115,-0.455454,0.581313,-0.484908,0.468511,483503396.941857
-0.026421,0.108090,0.107662,-0.456251,0.578043,-0.485363,0.471299,483503396.954604
-0.081254,0.041428,0.084241,-0.456580,0.575057,-0.486039,0.473931,483503396.954877
-0.144897,0.012406,0.115808,-0.456692,0.572369,-0.487016,0.476069,483503396.970350
-0.186793,-0.052032,0.121369,-0.456808,0.570043,-0.488282,0.477449,483503396.985943
-0.191650,-0.123888,0.049324,-0.457221,0.567824,-0.489477,0.478473,483503396.986205
-0.162424,-0.160711,0.009346,-0.457961,0.565577,-0.490564,0.479313,483503397.001820
-0.104347,-0.196524,-0.033322,-0.458730,0.563373,-0.491599,0.480112,483503397.017440
-0.032879,-0.166368,-0.103879,-0.459162,0.561338,-0.492696,0.480957,483503397.017714
0.051496,0.026966,-0.177093,-0.459402,0.559434,-0.493714,0.481902,483503397.034442
0.102243,0.074187,-0.217159,-0.459739,0.557393,-0.494515,0.483123,483503397.049285
0.156320,0.099679,-0.229107,-0.460047,0.555108,-0.495169,0.484788,483503397.049516
0.186063,0.114606,-0.201664,-0.460043,0.552774,-0.495880,0.486729,483503397.064840
0.195384,0.108941,-0.144540,-0.459534,0.550760,-0.496752,0.488600,483503397.080451
0.169307,0.094327,-0.091038,-0.458733,0.549144,-0.497475,0.490432,483503397.080676
0.138234,0.068671,-0.053495,-0.457807,0.548017,-0.498025,0.491998,483503397.096204
0.101305,0.055950,-0.012132,-0.456502,0.547624,-0.498900,0.492760,483503397.112210
0.055219,0.050708,-0.056218,-0.454796,0.547853,-0.500033,0.492934,483503397.112514
0.014282,0.034132,-0.129101,-0.453033,0.548127,-0.501244,0.493024,483503397.127638
0.006254,0.013945,-0.176059,-0.451277,0.548117,-0.502378,0.493491,483503397.143383
-0.004862,0.031252,-0.169337,-0.449617,0.547710,-0.503322,0.494495,483503397.143611
-0.039140,0.027056,-0.147092,-0.448137,0.546861,-0.503744,0.496345,483503397.159126
-0.087131,-0.030771,-0.120379,-0.447122,0.545586,-0.503371,0.499034,483503397.174853
-0.135255,-0.054127,-0.071380,-0.446495,0.543886,-0.502403,0.502415,483503397.175082
-0.164046,-0.069023,0.013780,-0.446236,0.541893,-0.501124,0.506064,483503397.190538
-0.175686,-0.042249,0.015101,-0.446262,0.539737,-0.499768,0.509672,483503397.206454
-0.174037,-0.011625,-0.013952,-0.446578,0.537351,-0.498516,0.513132,483503397.206680
-0.245934,0.067713,-0.085710,-0.447499,0.534445,-0.497380,0.516456,483503397.222094
-0.092247,0.119592,0.017825,-0.448900,0.531360,-0.496094,0.519650,483503397.237816
0.059852,0.029494,0.023538,-0.450230,0.528653,-0.494679,0.522601,483503397.238046
0.020617,-0.043607,0.106289,-0.451577,0.526408,-0.493001,0.525283,483503397.253691
-0.069395,0.000466,0.012043,-0.453395,0.524025,-0.491103,0.527871,483503397.269216
-0.056178,0.028571,0.032440,-0.455167,0.521619,-0.489520,0.530195,483503397.269452
-0.021247,0.083729,0.077672,-0.456628,0.519370,-0.488523,0.532063,483503397.284990
0.045261,0.086945,0.081631,-0.457728,0.517520,-0.488026,0.533374,483503397.301057
0.089609,0.057577,0.011401,-0.458941,0.515807,-0.487343,0.534615,483503397.301471
0.149778,0.030561,-0.028921,-0.460444,0.513943,-0.486220,0.536138,483503397.316694
0.156783,0.017435,-0.026715,-0.461995,0.512053,-0.484769,0.537923,483503397.332472
0.126960,-0.004654,0.035202,-0.463358,0.510374,-0.483270,0.539693,483503397.332700
0.088652,-0.018549,0.087960,-0.464471,0.509065,-0.481884,0.541210,483503397.348112
0.064413,-0.028308,0.091211,-0.465379,0.508129,-0.480613,0.542438,483503397.363720
0.035427,-0.041710,0.096223,-0.466151,0.507454,-0.479476,0.543411,483503397.363954
0.015353,-0.046373,0.106388,-0.466744,0.506961,-0.478548,0.544181,483503397.379657
-0.002416,-0.014733,0.030046,-0.467121,0.506562,-0.477883,0.544812,483503397.395497
-0.002900,0.009519,-0.008975,-0.467509,0.506017,-0.477285,0.545510,483503397.395773
0.012659,0.022357,-0.002685,-0.468098,0.505177,-0.476520,0.546452,483503397.410990
0.013716,0.024367,0.035514,-0.468896,0.504040,-0.475538,0.547672,483503397.426515
0.002405,0.010033,0.073867,-0.469865,0.502784,-0.474362,0.549014,483503397.426741
-0.013073,-0.004743,0.103734,-0.471045,0.501509,-0.473016,0.550328,483503397.442565
-0.027734,-0.001400,0.112548,-0.472409,0.500265,-0.471649,0.551464,483503397.458353
-0.019255,0.011771,0.107630,-0.474041,0.498996,-0.470188,0.552459,483503397.458773
-0.013367,0.031173,0.095603,-0.475977,0.497634,-0.468587,0.553383,483503397.473887
-0.007243,0.037582,0.098191,-0.478259,0.496106,-0.466816,0.554283,483503397.489817
0.009792,0.022232,0.113701,-0.480844,0.494478,-0.464800,0.555195,483503397.490057
0.036024,-0.023040,0.173479,-0.483635,0.492968,-0.462528,0.556011,483503397.505482
0.059896,-0.046576,0.189663,-0.486556,0.491735,-0.460120,0.556551,483503397.521817
0.090645,-0.083012,0.183625,-0.489621,0.490745,-0.457529,0.556873,483503397.522244
0.112091,-0.116198,0.173992,-0.492872,0.490012,-0.454537,0.557101,483503397.537841
0.134243,-0.143902,0.184476,-0.496252,0.489557,-0.451177,0.557231,483503397.553271
0.173813,-0.157783,0.221878,-0.499712,0.489488,-0.447442,0.557211,483503397.553808
0.207066,-0.184368,0.238992,-0.503343,0.489917,-0.443125,0.557016,483503397.568881
